[INFO][_run][2016-06-13 13:28:04,336]Start ZK Daemon
[INFO][stop][2016-06-13 13:30:02,573]Stop ZK Daemon
[INFO][stop][2016-06-13 13:40:28,726]Stop ZK Daemon
[INFO][_run][2016-06-13 13:41:14,997]Start ZK Daemon
[INFO][stop][2016-06-13 13:41:19,458]Stop ZK Daemon
[INFO][stop][2016-06-13 13:50:33,424]Stop ZK Daemon
[INFO][start][2016-06-13 13:51:43,071]Start ZK Daemon
[INFO][stop][2016-06-13 13:52:11,021]Stop ZK Daemon



[INFO][start][2016-06-13 13:52:42,572]Start ZK Daemon
[INFO][stop][2016-06-13 13:53:30,967]Stop ZK Daemon



[INFO][start][2016-06-13 13:56:04,960]Start ZK Daemon
[INFO][stop][2016-06-13 13:56:39,611]Stop ZK Daemon
[INFO][stop][2016-06-13 14:12:33,914]Stop ZK Daemon
[INFO][start][2016-06-13 14:12:33,914]Start ZK Daemon
[INFO][stop][2016-06-13 14:18:47,787]Stop ZK Daemon
[INFO][start][2016-06-13 14:18:47,893]Start ZK Daemon
[INFO][stop][2016-06-13 14:21:04,729]Stop ZK Daemon
[INFO][start][2016-06-13 14:21:04,832]Start ZK Daemon
[INFO][stop][2016-06-13 15:17:24,585]Stop ZK Daemon
[INFO][stop][2016-06-13 15:17:24,585]Connection has been closed
[INFO][_run][2016-06-13 15:34:19,226]Start ZK Daemon
[INFO][stop][2016-06-13 15:34:31,770]Stop ZK Daemon
[INFO][stop][2016-06-13 15:34:31,770]Connection has been closed
[INFO][_run][2016-06-13 15:35:33,003]Start ZK Daemon
[INFO][stop][2016-06-13 15:35:34,568]Stop ZK Daemon
[INFO][_run][2016-06-13 15:36:03,803]Start ZK Daemon
[INFO][stop][2016-06-13 15:36:05,271]Stop ZK Daemon
[INFO][stop][2016-06-13 15:36:05,271]Connection has been closed
[INFO][stop][2016-06-13 15:36:53,705]Stop ZK Daemon
[INFO][_run][2016-06-13 15:36:57,984]Start ZK Daemon
[INFO][stop][2016-06-13 15:36:59,632]Stop ZK Daemon
[INFO][_run][2016-06-13 15:38:12,086]Start ZK Daemon
[INFO][stop][2016-06-13 15:38:13,682]Stop ZK Daemon
[INFO][_run][2016-06-13 16:10:15,687]Start ZK Daemon
[INFO][stop][2016-06-13 16:10:32,177]Stop ZK Daemon
[INFO][stop][2016-06-13 16:10:34,065]Stop ZK Daemon
